"id","name","price","description","color","size","stock","promo","fidelityPoint","createAt","updateAt","id_category","id_user"
"512","Lychee - Canned","85.44","Nullam porttitor lacus at turpis. Donec posuere me","Aquamarine","XL","50","5848013977","15","2020-08-15 00:00:00","2021-08-26 00:00:00","20","12"
"513","Beer - Sleeman Fine Porter","60.58","Suspendisse potenti. In eleifend quam a odio. In h","Orange","XS","12","1061602028","45","2020-01-24 00:00:00","2021-11-12 00:00:00","50","84"
"514","Haggis","101.96","Vestibulum ac est lacinia nisi venenatis tristique","Indigo","L","102","8837843232","40","2021-11-16 00:00:00","2021-05-27 00:00:00","47","91"
"515","Carbonated Water - Lemon Lime","65.65","Mauris enim leo, rhoncus sed, vestibulum sit amet,","Pink","2XL","14","5834367771","40","2020-08-29 00:00:00","2021-02-26 00:00:00","54","34"
"516","Frangelico","50.20","Lorem ipsum dolor sit amet, consectetuer adipiscin","Crimson","L","16","5548988492","13","2021-03-19 00:00:00","2021-08-23 00:00:00","156","33"
"517","Soup Campbells Mexicali Tortilla","84.46","Curabitur gravida nisi at nibh. In hac habitasse p","Puce","XS","96","8790902424","41","2020-08-31 00:00:00","2020-06-11 00:00:00","42","10"
"518","Carbonated Water - White Grape","100.42","Curabitur gravida nisi at nibh. In hac habitasse p","Mauv","XL","93","1945017791","19","2021-09-05 00:00:00","2021-10-16 00:00:00","46","4"
"519","Shrimp - 31/40","92.46","Vestibulum ac est lacinia nisi venenatis tristique","Mauv","XL","81","8340080431","15","2021-05-11 00:00:00","2020-05-17 00:00:00","154","22"
"520","Sobe - Orange Carrot","57.21","Nam ultrices, libero non mattis pulvinar, nulla pe","Pink","L","12","6731350095","18","2020-12-26 00:00:00","2021-07-04 00:00:00","58","36"
"521","Oil - Peanut","98.18","Maecenas leo odio, condimentum id, luctus nec, mol","Mauv","2XL","60","5208566850","43","2021-05-25 00:00:00","2020-05-03 00:00:00","51","27"
"522","Water - Spring 1.5lit","81.09","Phasellus sit amet erat. Nulla tempus. Vivamus in ","Purple","M","9","2122313692","42","2021-10-01 00:00:00","2020-05-13 00:00:00","48","81"
"523","Roe - Lump Fish, Black","25.32","Aliquam quis turpis eget elit sodales scelerisque.","Mauv","3XL","89","8869192938","48","2021-06-15 00:00:00","2020-04-02 00:00:00","8","96"
"524","Lettuce - Boston Bib - Organic","82.71","Cum sociis natoque penatibus et magnis dis parturi","Violet","L","29","3593730383","6","2021-09-28 00:00:00","2020-12-12 00:00:00","134","97"
"525","Sauce - Hoisin","43.43","Aliquam quis turpis eget elit sodales scelerisque.","Khaki","3XL","72","6569333968","18","2020-12-10 00:00:00","2022-01-09 00:00:00","59","88"
"526","Tomatoes - Vine Ripe, Yellow","12.18","Aliquam quis turpis eget elit sodales scelerisque.","Green","M","57","4520505003","28","2021-09-20 00:00:00","2021-04-04 00:00:00","21","75"
"527","Fiddlehead - Frozen","11.83","Nullam porttitor lacus at turpis. Donec posuere me","Aquamarine","S","70","9991637001","17","2020-08-05 00:00:00","2020-10-23 00:00:00","53","78"
"528","Uniform Linen Charge","65.78","Maecenas ut massa quis augue luctus tincidunt. Nul","Goldenrod","2XL","72","8677917020","19","2021-08-15 00:00:00","2020-05-16 00:00:00","32","22"
"529","Soup - Campbells Mac N Cheese","95.70","Vestibulum quam sapien, varius ut, blandit non, in","Green","L","66","6362302613","33","2020-05-10 00:00:00","2020-07-16 00:00:00","126","32"
"530","Apple - Delicious, Red","49.71","Duis bibendum. Morbi non quam nec dui luctus rutru","Khaki","XS","68","2771229889","34","2021-10-12 00:00:00","2021-05-17 00:00:00","30","30"
"531","Leeks - Large","102.67","Aenean fermentum. Donec ut mauris eget massa tempo","Mauv","XL","38","3214891456","22","2020-11-16 00:00:00","2020-12-27 00:00:00","130","83"
"532","Pasta - Agnolotti - Butternut","31.63","Duis aliquam convallis nunc. Proin at turpis a ped","Aquamarine","XL","75","0991529146","50","2020-04-06 00:00:00","2021-10-03 00:00:00","151","11"
"533","Apricots Fresh","14.90","Cum sociis natoque penatibus et magnis dis parturi","Fuscia","M","90","7651104536","17","2020-06-08 00:00:00","2021-08-02 00:00:00","129","41"
"534","Nantuket Peach Orange","52.19","Pellentesque at nulla. Suspendisse potenti. Cras i","Violet","3XL","91","6169358742","11","2021-12-26 00:00:00","2021-09-12 00:00:00","47","17"
"535","Foam Tray S2","28.50","Nulla ut erat id mauris vulputate elementum. Nulla","Aquamarine","L","82","7468246777","32","2020-12-25 00:00:00","2020-04-01 00:00:00","135","23"
"536","Beef - Flank Steak","23.85","Vestibulum ac est lacinia nisi venenatis tristique","Violet","XL","97","5184934855","43","2020-10-12 00:00:00","2020-08-26 00:00:00","30","74"
"537","Cranberries - Fresh","15.48","Vestibulum ac est lacinia nisi venenatis tristique","Maroon","M","10","1454537027","43","2020-09-01 00:00:00","2020-06-27 00:00:00","128","59"
"538","Artichoke - Bottom, Canned","102.76","Duis consequat dui nec nisi volutpat eleifend. Don","Red","XS","13","2782895737","13","2020-09-02 00:00:00","2022-01-12 00:00:00","146","2"
"539","Sardines","22.61","Vestibulum ac est lacinia nisi venenatis tristique","Khaki","2XL","7","6565938105","27","2021-01-08 00:00:00","2020-10-14 00:00:00","147","33"
"540","Coffee - Frthy Coffee Crisp","60.70","Nulla ut erat id mauris vulputate elementum. Nulla","Indigo","L","14","2673824391","21","2020-05-15 00:00:00","2020-07-06 00:00:00","42","4"
"541","Wine - Jaboulet Cotes Du Rhone","30.76","Morbi non lectus. Aliquam sit amet diam in magna b","Green","3XL","30","1054973644","23","2020-07-23 00:00:00","2021-03-23 00:00:00","43","95"
"542","Garlic - Primerba, Paste","29.43","Duis bibendum. Morbi non quam nec dui luctus rutru","Purple","3XL","10","5146731225","30","2020-05-04 00:00:00","2020-09-13 00:00:00","20","4"
"543","Pastry - Chocolate Marble Tea","64.87","Vestibulum ac est lacinia nisi venenatis tristique","Pink","XS","49","6955841335","11","2021-04-20 00:00:00","2020-10-22 00:00:00","142","56"
"544","Dill - Primerba, Paste","52.59","Proin interdum mauris non ligula pellentesque ultr","Indigo","S","95","4271901067","37","2021-12-31 00:00:00","2021-12-13 00:00:00","137","71"
"545","Longos - Lasagna Beef","41.09","Maecenas ut massa quis augue luctus tincidunt. Nul","Khaki","XL","19","5362295187","45","2020-01-23 00:00:00","2021-11-10 00:00:00","138","11"
"546","Quail Eggs - Canned","22.20","Vestibulum ac est lacinia nisi venenatis tristique","Red","2XL","5","7300761224","22","2021-08-08 00:00:00","2021-11-19 00:00:00","128","89"
"547","Beans - Kidney White","45.35","In hac habitasse platea dictumst. Morbi vestibulum","Blue","3XL","22","1047164922","17","2021-04-15 00:00:00","2021-08-13 00:00:00","137","69"
"548","Bread - Sour Batard","31.64","Praesent blandit. Nam nulla. Integer pede justo, l","Crimson","L","21","6348718077","6","2020-12-20 00:00:00","2021-08-07 00:00:00","140","67"
"549","Grapes - Black","102.68","Quisque id justo sit amet sapien dignissim vestibu","Mauv","XL","86","5836226881","41","2020-03-06 00:00:00","2021-02-11 00:00:00","10","36"
"550","Cinnamon - Stick","47.52","Aliquam quis turpis eget elit sodales scelerisque.","Green","L","103","1300469293","22","2020-10-20 00:00:00","2020-06-20 00:00:00","128","76"
"551","Lettuce Romaine Chopped","5.90","Aenean fermentum. Donec ut mauris eget massa tempo","Purple","3XL","21","8550145130","50","2021-03-08 00:00:00","2021-12-24 00:00:00","29","5"
"552","Wine - Maipo Valle Cabernet","22.70","Phasellus in felis. Donec semper sapien a libero. ","Puce","XL","27","5115390752","32","2021-02-09 00:00:00","2020-09-10 00:00:00","7","93"
"553","Rice - Aborio","82.08","Mauris enim leo, rhoncus sed, vestibulum sit amet,","Khaki","M","90","4524024417","35","2021-07-23 00:00:00","2020-10-31 00:00:00","120","29"
"554","Artichoke - Fresh","28.17","In hac habitasse platea dictumst. Etiam faucibus c","Blue","2XL","60","4072491063","7","2021-09-28 00:00:00","2020-05-03 00:00:00","150","23"
"555","Fennel","25.23","Cum sociis natoque penatibus et magnis dis parturi","Crimson","2XL","103","6124534959","49","2021-03-03 00:00:00","2021-12-03 00:00:00","132","61"
"556","Egg Patty Fried","63.43","Integer ac leo. Pellentesque ultrices mattis odio.","Green","M","7","7687407881","49","2021-04-01 00:00:00","2021-01-11 00:00:00","49","38"
"557","Tomato - Peeled Italian Canned","44.74","Maecenas ut massa quis augue luctus tincidunt. Nul","Maroon","S","100","5411605709","27","2021-12-19 00:00:00","2021-05-14 00:00:00","24","34"
"558","Beef - Tongue, Cooked","54.81","Quisque porta volutpat erat. Quisque erat eros, vi","Green","M","21","3927730866","9","2021-08-29 00:00:00","2020-06-18 00:00:00","49","59"
"559","Carbonated Water - Orange","76.09","In hac habitasse platea dictumst. Etiam faucibus c","Fuscia","L","91","0159204577","17","2021-07-28 00:00:00","2021-06-20 00:00:00","153","94"
"560","Iced Tea Concentrate","75.32","Aliquam quis turpis eget elit sodales scelerisque.","Pink","XS","15","7791636492","49","2021-07-01 00:00:00","2020-07-28 00:00:00","3","27"
"561","Compound - Orange","21.32","Donec diam neque, vestibulum eget, vulputate ut, u","Maroon","L","59","4978197465","47","2021-06-28 00:00:00","2020-12-02 00:00:00","138","8"
"562","Appetizer - Sausage Rolls","4.77","In hac habitasse platea dictumst. Morbi vestibulum","Puce","2XL","62","9635434545","35","2020-08-08 00:00:00","2021-03-16 00:00:00","21","77"
"563","Sauce - Balsamic Viniagrette","32.99","Morbi porttitor lorem id ligula. Suspendisse ornar","Orange","XL","3","3949969616","40","2021-08-11 00:00:00","2021-12-22 00:00:00","59","64"
"564","Dates","92.50","Cras mi pede, malesuada in, imperdiet et, commodo ","Indigo","XS","94","4730079981","36","2020-10-24 00:00:00","2021-08-09 00:00:00","142","53"
"565","Melon - Watermelon, Seedless","38.23","Maecenas leo odio, condimentum id, luctus nec, mol","Purple","3XL","103","7144212192","45","2020-07-28 00:00:00","2020-04-22 00:00:00","4","69"
"566","Table Cloth 120 Round White","94.64","Lorem ipsum dolor sit amet, consectetuer adipiscin","Turquoise","XL","24","6103786495","42","2020-05-16 00:00:00","2020-11-12 00:00:00","136","62"
"567","Beef - Tenderloin","82.59","Nullam sit amet turpis elementum ligula vehicula c","Puce","M","33","2039632034","18","2020-03-16 00:00:00","2021-04-09 00:00:00","7","87"
"568","Barramundi","77.60","Duis bibendum, felis sed interdum venenatis, turpi","Aquamarine","L","99","6990407115","11","2021-11-15 00:00:00","2020-05-22 00:00:00","42","25"
"569","Milk - Homo","89.21","Proin eu mi. Nulla ac enim. In tempor, turpis nec ","Puce","L","88","5235822196","26","2021-06-16 00:00:00","2020-04-16 00:00:00","121","15"
"570","Artichokes - Jerusalem","89.36","Suspendisse potenti. In eleifend quam a odio. In h","Red","S","56","8610793265","26","2020-05-20 00:00:00","2021-06-27 00:00:00","128","48"
"571","Lamb - Sausage Casings","45.27","In hac habitasse platea dictumst. Etiam faucibus c","Fuscia","XS","60","5736209594","34","2021-01-08 00:00:00","2022-01-16 00:00:00","3","61"
"572","Squeeze Bottle","32.03","Maecenas ut massa quis augue luctus tincidunt. Nul","Mauv","S","23","3318628166","10","2021-06-25 00:00:00","2021-03-25 00:00:00","49","81"
"573","Tomatoes - Orange","71.94","Proin interdum mauris non ligula pellentesque ultr","Orange","M","81","8880308343","27","2021-01-08 00:00:00","2021-04-10 00:00:00","144","21"
"574","Cheese - Ermite Bleu","51.57","Proin eu mi. Nulla ac enim. In tempor, turpis nec ","Pink","M","11","2123429732","43","2022-01-16 00:00:00","2021-07-19 00:00:00","146","3"
"575","Plums - Red","99.26","Nullam sit amet turpis elementum ligula vehicula c","Maroon","S","73","7724577390","35","2020-08-31 00:00:00","2021-05-18 00:00:00","21","14"
"576","Papadam","16.88","Phasellus in felis. Donec semper sapien a libero. ","Teal","M","71","1924978512","10","2020-09-17 00:00:00","2021-04-04 00:00:00","148","8"
"577","Yogurt - French Vanilla","9.54","Sed sagittis. Nam congue, risus semper porta volut","Blue","S","85","2976141908","19","2020-07-03 00:00:00","2020-10-18 00:00:00","61","17"
"578","Pop Shoppe Cream Soda","71.70","Donec diam neque, vestibulum eget, vulputate ut, u","Maroon","S","61","7599737782","8","2020-06-30 00:00:00","2021-03-18 00:00:00","143","29"
"579","Beans - Wax","95.72","Quisque porta volutpat erat. Quisque erat eros, vi","Fuscia","M","95","6571452707","20","2021-01-07 00:00:00","2021-10-28 00:00:00","147","52"
"580","Juice - Tomato, 10 Oz","49.82","Mauris enim leo, rhoncus sed, vestibulum sit amet,","Pink","XL","18","8383856539","25","2020-09-25 00:00:00","2020-05-03 00:00:00","119","27"
"581","Cocoa Feuilletine","102.14","Duis aliquam convallis nunc. Proin at turpis a ped","Khaki","S","7","2133788638","7","2020-04-21 00:00:00","2021-02-15 00:00:00","145","57"
"582","Appetizer - Smoked Salmon / Dill","18.71","Proin leo odio, porttitor id, consequat in, conseq","Purple","XL","19","9250293771","13","2021-10-03 00:00:00","2021-04-02 00:00:00","48","12"
"583","Lobster - Tail 6 Oz","94.62","Aenean fermentum. Donec ut mauris eget massa tempo","Yellow","2XL","79","9930214860","32","2020-07-09 00:00:00","2021-03-18 00:00:00","143","98"
"584","Beans - Navy, Dry","3.96","Aenean lectus. Pellentesque eget nunc. Donec quis ","Orange","S","38","1581541449","39","2020-07-28 00:00:00","2020-07-28 00:00:00","142","17"
"585","Anchovy In Oil","62.36","Curabitur gravida nisi at nibh. In hac habitasse p","Teal","3XL","79","1861658710","47","2021-05-07 00:00:00","2020-08-26 00:00:00","32","7"
"586","Clam Nectar","21.50","Cum sociis natoque penatibus et magnis dis parturi","Red","XS","38","1417696117","27","2021-12-11 00:00:00","2021-07-20 00:00:00","24","64"
"587","Cheese - Feta","71.35","In hac habitasse platea dictumst. Etiam faucibus c","Violet","S","84","9718892966","8","2021-11-09 00:00:00","2020-08-22 00:00:00","42","29"
"588","Kiwi","51.30","In hac habitasse platea dictumst. Morbi vestibulum","Indigo","S","87","6445209521","48","2020-02-10 00:00:00","2021-04-18 00:00:00","129","81"
"589","Spinach - Baby","50.04","Proin interdum mauris non ligula pellentesque ultr","Purple","2XL","40","5261738644","20","2020-06-14 00:00:00","2020-06-20 00:00:00","29","52"
"590","Sausage - Meat","14.27","Proin leo odio, porttitor id, consequat in, conseq","Violet","L","31","7213267019","38","2021-01-13 00:00:00","2020-12-10 00:00:00","134","36"
"591","Ice Cream Bar - Rolo Cone","24.63","Nulla ut erat id mauris vulputate elementum. Nulla","Red","L","77","7535011829","20","2020-12-03 00:00:00","2020-12-05 00:00:00","4","53"
"592","Cornflakes","51.58","Phasellus in felis. Donec semper sapien a libero. ","Maroon","3XL","43","5208547538","9","2020-05-01 00:00:00","2021-01-20 00:00:00","15","55"
"593","Cornish Hen","8.10","Cum sociis natoque penatibus et magnis dis parturi","Green","M","71","4967798209","34","2020-06-03 00:00:00","2020-07-09 00:00:00","139","16"
"594","Mushroom - Porcini, Dry","6.94","Maecenas tristique, est et tempus semper, est quam","Maroon","3XL","62","1723011193","20","2020-09-22 00:00:00","2020-10-31 00:00:00","142","66"
"595","Sugar - Splenda Sweetener","71.93","Duis consequat dui nec nisi volutpat eleifend. Don","Indigo","L","79","9193306296","47","2020-05-18 00:00:00","2020-08-23 00:00:00","133","85"
"596","Tart Shells - Sweet, 2","60.33","Donec diam neque, vestibulum eget, vulputate ut, u","Aquamarine","2XL","31","3298827932","7","2021-09-28 00:00:00","2021-08-29 00:00:00","51","9"
"597","Chinese Lemon Pork","93.81","Duis consequat dui nec nisi volutpat eleifend. Don","Green","XL","26","7407476659","27","2020-09-13 00:00:00","2020-08-22 00:00:00","37","84"
"598","Lamb - Leg, Diced","58.08","Proin interdum mauris non ligula pellentesque ultr","Indigo","2XL","58","6556565709","32","2020-05-29 00:00:00","2021-04-10 00:00:00","153","7"
"599","Vinegar - White","49.89","Nullam porttitor lacus at turpis. Donec posuere me","Green","2XL","92","6223701403","41","2020-12-02 00:00:00","2021-05-24 00:00:00","119","92"
"600","Containter - 3oz Microwave Rect.","47.95","Quisque porta volutpat erat. Quisque erat eros, vi","Maroon","2XL","55","7572562078","8","2020-06-04 00:00:00","2021-07-20 00:00:00","140","51"
"601","Beef - Montreal Smoked Brisket","9.02","Quisque id justo sit amet sapien dignissim vestibu","Fuscia","L","68","5261353335","9","2020-08-24 00:00:00","2021-05-04 00:00:00","7","15"
"602","Bread - Roll, Calabrese","14.68","Maecenas leo odio, condimentum id, luctus nec, mol","Green","L","9","8343596110","32","2021-11-05 00:00:00","2021-03-31 00:00:00","132","19"
"603","Straw - Regular","18.99","Maecenas leo odio, condimentum id, luctus nec, mol","Yellow","XL","82","3645491503","16","2020-10-07 00:00:00","2021-01-23 00:00:00","135","19"
"604","Garlic","102.15","Nullam porttitor lacus at turpis. Donec posuere me","Orange","L","77","1391462440","38","2020-02-18 00:00:00","2020-03-22 00:00:00","14","22"
"605","Lobster - Cooked","45.90","Praesent blandit. Nam nulla. Integer pede justo, l","Purple","L","27","4611735591","47","2020-10-07 00:00:00","2020-05-09 00:00:00","124","94"
"606","Wine - Bouchard La Vignee Pinot","59.92","Duis aliquam convallis nunc. Proin at turpis a ped","Maroon","L","90","5812560242","47","2020-02-19 00:00:00","2021-01-20 00:00:00","153","78"
"607","Longos - Grilled Salmon With Bbq","23.96","Lorem ipsum dolor sit amet, consectetuer adipiscin","Aquamarine","M","97","0670924601","17","2021-06-26 00:00:00","2021-12-05 00:00:00","43","57"
"608","Nut - Almond, Blanched, Whole","102.88","Etiam vel augue. Vestibulum rutrum rutrum neque. A","Crimson","XS","7","0826578179","25","2020-06-28 00:00:00","2020-07-01 00:00:00","139","8"
"609","Salmon - Smoked, Sliced","4.98","Fusce consequat. Nulla nisl. Nunc nisl.

Duis bi","Red","M","23","0282391320","45","2020-06-27 00:00:00","2020-10-09 00:00:00","24","6"
"610","Bread - White Mini Epi","58.50","Fusce consequat. Nulla nisl. Nunc nisl.

Duis bi","Fuscia","L","72","2404805754","5","2021-08-24 00:00:00","2020-11-29 00:00:00","56","94"
"611","Pizza Pizza Dough","17.57","Proin eu mi. Nulla ac enim. In tempor, turpis nec ","Maroon","XS","79","6656907040","48","2021-08-15 00:00:00","2021-10-08 00:00:00","155","26"
"612","Nantuket Peach Orange","29.68","Morbi non lectus. Aliquam sit amet diam in magna b","Mauv","M","23","3537034717","32","2021-10-17 00:00:00","2020-06-21 00:00:00","133","68"
"613","Sobe - Lizard Fuel","49.21","Morbi porttitor lorem id ligula. Suspendisse ornar","Purple","XS","49","0607632380","27","2021-10-31 00:00:00","2022-01-15 00:00:00","45","54"
"614","Spice - Greek 1 Step","73.11","Duis aliquam convallis nunc. Proin at turpis a ped","Violet","3XL","9","4716368173","10","2020-06-15 00:00:00","2020-08-28 00:00:00","13","78"
"615","Soup - Beef, Base Mix","56.39","Integer tincidunt ante vel ipsum. Praesent blandit","Indigo","XS","82","0515592951","12","2020-10-13 00:00:00","2021-05-03 00:00:00","132","81"
"616","Coconut - Whole","60.54","Maecenas ut massa quis augue luctus tincidunt. Nul","Indigo","XS","60","2143399790","39","2021-09-13 00:00:00","2020-04-16 00:00:00","39","59"
"617","Sping Loaded Cup Dispenser","39.52","In congue. Etiam justo. Etiam pretium iaculis just","Indigo","L","79","6079226626","27","2020-04-07 00:00:00","2021-01-21 00:00:00","142","99"
"618","Cheese - Augre Des Champs","12.69","Sed sagittis. Nam congue, risus semper porta volut","Indigo","XS","64","0298202182","39","2020-04-09 00:00:00","2021-12-27 00:00:00","44","98"
"619","Kellogs Cereal In A Cup","62.15","Aenean lectus. Pellentesque eget nunc. Donec quis ","Crimson","3XL","22","2646167601","41","2020-05-28 00:00:00","2021-11-14 00:00:00","142","65"
"620","Corn - Mini","50.60","Maecenas leo odio, condimentum id, luctus nec, mol","Violet","S","35","9314312097","10","2021-03-01 00:00:00","2020-11-23 00:00:00","8","18"
"621","Butter Balls Salted","46.23","In hac habitasse platea dictumst. Etiam faucibus c","Puce","3XL","91","4387100648","9","2020-09-01 00:00:00","2020-05-30 00:00:00","5","70"
"622","Wine - Sogrape Mateus Rose","30.56","Proin eu mi. Nulla ac enim. In tempor, turpis nec ","Puce","XL","41","6672844082","32","2021-10-29 00:00:00","2020-12-11 00:00:00","48","52"
"623","Brandy Cherry - Mcguinness","87.54","Phasellus in felis. Donec semper sapien a libero. ","Goldenrod","M","91","8938514129","31","2021-02-19 00:00:00","2021-02-12 00:00:00","9","58"
"624","Wine - Cousino Macul Antiguas","56.67","Cum sociis natoque penatibus et magnis dis parturi","Red","2XL","8","6674823708","45","2021-09-04 00:00:00","2020-04-14 00:00:00","128","2"
"625","Beef - Tenderlion, Center Cut","90.73","Cras non velit nec nisi vulputate nonummy. Maecena","Blue","3XL","89","0386595402","15","2021-08-01 00:00:00","2022-01-06 00:00:00","158","71"
"626","Pike - Frozen Fillet","48.72","In hac habitasse platea dictumst. Etiam faucibus c","Yellow","M","77","0903891905","46","2020-05-10 00:00:00","2020-03-22 00:00:00","144","67"
"627","Tray - 12in Rnd Blk","22.13","Duis bibendum. Morbi non quam nec dui luctus rutru","Puce","XS","74","6701873235","22","2020-09-07 00:00:00","2020-05-25 00:00:00","33","31"
"628","Coffee - Irish Cream","68.34","Aliquam quis turpis eget elit sodales scelerisque.","Turquoise","2XL","77","4662350522","27","2020-04-11 00:00:00","2021-06-30 00:00:00","19","81"
"629","Cheese - Mozzarella, Buffalo","77.21","Cras mi pede, malesuada in, imperdiet et, commodo ","Khaki","2XL","15","8063917170","13","2020-10-23 00:00:00","2020-06-09 00:00:00","137","68"
"630","Coffee Swiss Choc Almond","46.96","Phasellus sit amet erat. Nulla tempus. Vivamus in ","Blue","S","13","7005681118","47","2021-02-03 00:00:00","2021-05-17 00:00:00","135","69"
"631","Beef - Ox Tail, Frozen","67.35","In hac habitasse platea dictumst. Etiam faucibus c","Goldenrod","L","60","6685153601","31","2020-12-10 00:00:00","2021-07-04 00:00:00","136","52"
"632","Wine - Chablis J Moreau Et Fils","46.14","Curabitur in libero ut massa volutpat convallis. M","Turquoise","S","79","4027398440","20","2020-04-04 00:00:00","2020-07-01 00:00:00","48","44"
"633","Flavouring - Raspberry","51.41","Aenean fermentum. Donec ut mauris eget massa tempo","Red","S","42","8011030604","5","2021-04-22 00:00:00","2021-12-28 00:00:00","154","39"
"634","Mushroom - Trumpet, Dry","66.30","In quis justo. Maecenas rhoncus aliquam lacus. Mor","Purple","2XL","85","4474661699","39","2021-12-25 00:00:00","2020-05-14 00:00:00","5","67"
"635","Fennel","67.03","Maecenas ut massa quis augue luctus tincidunt. Nul","Crimson","2XL","12","8157262674","24","2020-05-17 00:00:00","2021-02-17 00:00:00","36","38"
"636","Turnip - White","97.23","Quisque id justo sit amet sapien dignissim vestibu","Blue","3XL","5","1367924995","17","2021-01-08 00:00:00","2021-07-31 00:00:00","143","20"
"637","Wine - Balbach Riverside","81.45","Donec diam neque, vestibulum eget, vulputate ut, u","Aquamarine","3XL","69","2949582605","49","2020-12-14 00:00:00","2021-10-27 00:00:00","150","11"
"638","Mushrooms - Honey","79.52","In congue. Etiam justo. Etiam pretium iaculis just","Mauv","M","84","9832197716","32","2021-04-09 00:00:00","2021-12-28 00:00:00","142","44"
"639","Bread - Raisin","30.74","Integer tincidunt ante vel ipsum. Praesent blandit","Fuscia","3XL","39","9896717311","26","2020-02-24 00:00:00","2021-08-19 00:00:00","148","2"
"640","Lamb - Shanks","66.26","Duis bibendum. Morbi non quam nec dui luctus rutru","Maroon","2XL","44","8258950177","29","2021-11-02 00:00:00","2020-08-13 00:00:00","8","11"
"641","Soup - Clam Chowder, Dry Mix","32.05","In hac habitasse platea dictumst. Etiam faucibus c","Teal","3XL","97","2075075328","35","2021-02-15 00:00:00","2021-04-16 00:00:00","133","67"
"642","Pasta - Linguini, Dry","66.23","Sed sagittis. Nam congue, risus semper porta volut","Indigo","M","70","4537536527","25","2021-04-27 00:00:00","2020-05-05 00:00:00","45","89"
"643","Sugar - Fine","55.22","Phasellus sit amet erat. Nulla tempus. Vivamus in ","Puce","XS","50","2288126949","47","2020-09-16 00:00:00","2021-06-08 00:00:00","49","54"
"644","Zucchini - Mini, Green","65.30","Lorem ipsum dolor sit amet, consectetuer adipiscin","Turquoise","L","91","3260941428","45","2020-05-30 00:00:00","2021-06-11 00:00:00","131","79"
"645","Wine - Zonnebloem Pinotage","21.32","Pellentesque at nulla. Suspendisse potenti. Cras i","Teal","2XL","102","5499398542","29","2021-12-24 00:00:00","2020-05-10 00:00:00","14","38"
"646","Island Oasis - Banana Daiquiri","74.54","Vestibulum ac est lacinia nisi venenatis tristique","Goldenrod","2XL","99","3114710573","49","2020-03-18 00:00:00","2021-06-27 00:00:00","151","31"
"647","Muffin Puck Ww Carrot","74.04","Fusce consequat. Nulla nisl. Nunc nisl.

Duis bi","Orange","XS","81","9792155414","28","2022-01-06 00:00:00","2021-10-01 00:00:00","131","7"
"648","Pepper - Julienne, Frozen","18.81","Etiam vel augue. Vestibulum rutrum rutrum neque. A","Orange","2XL","64","3116978409","17","2021-06-03 00:00:00","2020-12-06 00:00:00","146","33"
"649","Hinge W Undercut","98.92","Etiam vel augue. Vestibulum rutrum rutrum neque. A","Khaki","S","87","8708031576","17","2020-04-08 00:00:00","2021-03-12 00:00:00","5","88"
"650","Muffin Carrot - Individual","19.49","Cras mi pede, malesuada in, imperdiet et, commodo ","Khaki","S","71","7534034345","36","2020-03-13 00:00:00","2020-08-02 00:00:00","46","84"
"651","Napkin - Beverage 1 Ply","17.40","Cras mi pede, malesuada in, imperdiet et, commodo ","Puce","XL","81","4542886417","43","2021-06-06 00:00:00","2020-11-11 00:00:00","150","53"
"652","Potato - Sweet","39.12","In quis justo. Maecenas rhoncus aliquam lacus. Mor","Red","XL","76","9051831056","11","2021-08-28 00:00:00","2020-07-26 00:00:00","136","93"
"653","Calaloo","9.13","Nullam porttitor lacus at turpis. Donec posuere me","Aquamarine","XS","16","3517961647","10","2021-01-24 00:00:00","2021-03-07 00:00:00","137","86"
"654","Cookies - Englishbay Oatmeal","62.03","Duis bibendum. Morbi non quam nec dui luctus rutru","Purple","S","4","4591376060","26","2020-05-26 00:00:00","2020-05-12 00:00:00","61","50"
"655","Cilantro / Coriander - Fresh","8.91","In hac habitasse platea dictumst. Morbi vestibulum","Goldenrod","XS","17","4020244030","48","2020-08-26 00:00:00","2020-12-21 00:00:00","44","59"
"656","Pork - Bacon Cooked Slcd","81.37","Praesent blandit. Nam nulla. Integer pede justo, l","Red","XL","55","1377438538","34","2021-04-18 00:00:00","2021-04-27 00:00:00","141","9"
"657","Bar Mix - Pina Colada, 355 Ml","60.37","Duis bibendum, felis sed interdum venenatis, turpi","Teal","M","40","8320326192","26","2020-05-10 00:00:00","2021-04-03 00:00:00","39","69"
"658","Assorted Desserts","30.94","Sed ante. Vivamus tortor. Duis mattis egestas metu","Pink","M","34","4628170657","48","2021-05-24 00:00:00","2021-01-25 00:00:00","40","47"
"659","Island Oasis - Sweet And Sour Mix","83.17","Duis aliquam convallis nunc. Proin at turpis a ped","Indigo","L","61","6444539390","34","2021-11-03 00:00:00","2020-11-01 00:00:00","24","59"
"660","Towel - Roll White","82.25","Maecenas leo odio, condimentum id, luctus nec, mol","Purple","S","33","2822680760","15","2021-08-17 00:00:00","2021-02-10 00:00:00","53","11"
"661","Bread - Raisin Walnut Oval","15.89","Aliquam quis turpis eget elit sodales scelerisque.","Mauv","3XL","93","8392914759","10","2020-01-17 00:00:00","2020-04-10 00:00:00","27","15"
"662","Carbonated Water - Cherry","57.93","Praesent id massa id nisl venenatis lacinia. Aenea","Purple","2XL","58","7445845305","48","2021-06-10 00:00:00","2021-11-03 00:00:00","143","45"
